== run_capacity_validate: machine=sunbird core=6 groups=all ==
-- group=dram bytes=149946368 repeat=3 seed=12348 --
-- group=dram bytes=149946368 repeat=4 seed=12349 --
-- group=dram bytes=149999845 repeat=0 seed=12345 --
-- group=dram bytes=149999845 repeat=1 seed=12346 --
-- group=dram bytes=149999845 repeat=2 seed=12347 --
-- group=dram bytes=149999845 repeat=3 seed=12348 --
-- group=dram bytes=149999845 repeat=4 seed=12349 --
-- group=dram bytes=167772160 repeat=0 seed=12345 --
-- group=dram bytes=167772160 repeat=1 seed=12346 --
-- group=dram bytes=167772160 repeat=2 seed=12347 --
-- group=dram bytes=167772160 repeat=3 seed=12348 --
-- group=dram bytes=167772160 repeat=4 seed=12349 --
-- group=dram bytes=268435456 repeat=0 seed=12345 --
-- group=dram bytes=268435456 repeat=1 seed=12346 --
-- group=dram bytes=268435456 repeat=2 seed=12347 --
-- group=dram bytes=268435456 repeat=3 seed=12348 --
-- group=dram bytes=268435456 repeat=4 seed=12349 --
  wrote 30031 lines -> data_raw/sunbird/capacity_validate/capacity_validate_dram_random_20260912T193833Z.csv
Wrote 6 summary rows to data_processed/sunbird/capacity_validate/dram_summary.csv
  summary -> data_processed/sunbird/capacity_validate/dram_summary.csv
-- compressing raw CSVs --
== done ==
== summaries: data_processed/sunbird/capacity_validate/{l1d,l2,l3,dram}_summary.csv (whichever groups were run) ==
== full transcript saved to: data_raw/sunbird/capacity_validate/run_capacity_validate_20260912T193833Z.log ==
