target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,2147483648,4096,2048,random,target,200,507.24,432.0,164.13373147846613,192.0,408.0,480.0,408.0,793.1999999999996,1056.0,42
32768,2147483648,4096,2048,random,control,200,448.68,432.0,124.67742337527467,168.0,408.0,456.0,192.0,721.1999999999996,1128.0,39
