target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
49152,2553802752,4096,2048,sequential,target,200,74.22,68.0,45.95291013362204,60.0,66.0,68.0,66.0,96.0,706.0,31
49152,2553802752,4096,2048,sequential,control,200,62.05,60.0,19.056580656866494,54.0,56.0,60.0,54.0,76.0,314.0,28
