stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,7864320,62914560,4096,sequential,1000,0.090623,0.09,0.0013374078135182485,0.089,0.09,0.091,0.089,0.093,0.107,57
16,3932160,62914560,4096,sequential,1000,0.086362,0.086,0.0019664238665208504,0.084,0.085,0.087,0.084,0.09,0.097,74
24,2621440,62914560,4096,sequential,1000,0.09336,0.092,0.006572031009634056,0.085,0.09,0.098,0.086,0.102,0.209,3
32,1966080,62914560,4096,sequential,1000,0.097104,0.095,0.0070785089735967205,0.086,0.092,0.103,0.087,0.109,0.12,1
40,1572864,62914560,4096,sequential,1000,0.10213,0.1,0.008360681850244094,0.089,0.096,0.109,0.09,0.115,0.185,2
48,1310720,62914560,4096,sequential,1000,0.104462,0.101,0.008903585223370966,0.089,0.098,0.112,0.091,0.12,0.135,1
56,1123474,62914560,4096,sequential,1000,0.108987,0.107,0.011035516010301177,0.091,0.101,0.117,0.092,0.125,0.209,2
64,983040,62914560,4096,sequential,1000,0.114453,0.115,0.01247980514817986,0.092,0.106,0.124,0.093,0.133,0.148,0
72,873813,62914560,4096,sequential,1000,0.135887,0.1405,0.017674122484740384,0.102,0.123,0.149,0.104,0.157,0.257,1
80,786432,62914560,4096,sequential,1000,0.168126,0.177,0.02425589562297118,0.116,0.152,0.187,0.123,0.192,0.281,1
88,714938,62914560,4096,sequential,1000,0.28849800000000003,0.301,0.05562175631689255,0.159,0.262,0.336,0.185,0.346,0.408,0
96,655360,62914560,4096,sequential,1000,0.300481,0.3115,0.06076635737963226,0.176,0.269,0.354,0.189,0.363,0.379,0
104,604947,62914560,4096,sequential,1000,0.343508,0.345,0.0947233680379475,0.176,0.291,0.416,0.19,0.43504999999999994,1.682,3
112,561737,62914560,4096,sequential,1000,0.332367,0.344,0.07709601875004382,0.17,0.296,0.395,0.184,0.404,0.859,3
120,524288,62914560,4096,sequential,1000,0.326345,0.3265,0.08258297598732395,0.179,0.262,0.40125,0.192,0.421,0.752,2
128,491520,62914560,4096,sequential,1000,0.213393,0.212,0.027796676171913188,0.174,0.205,0.22,0.195,0.233,1.008,15
136,462607,62914560,4096,sequential,1000,0.32604,0.3355,0.05470020578126295,0.189,0.303,0.364,0.21695,0.394,0.739,40
144,436906,62914560,4096,sequential,1000,0.370759,0.3825,0.09113973540871385,0.186,0.32,0.445,0.208,0.461,1.141,2
152,413911,62914560,4096,sequential,1000,0.419323,0.4165,0.11367969803243122,0.2,0.33,0.52525,0.236,0.547,1.177,2
160,393216,62914560,4096,sequential,1000,0.39903900000000003,0.402,0.12623959725424871,0.186,0.279,0.529,0.219,0.54605,0.577,0
168,374491,62914560,4096,sequential,1000,0.485677,0.477,0.1600979575979251,0.241,0.34,0.637,0.258,0.663,2.034,1
176,357469,62914560,4096,sequential,1000,0.489261,0.503,0.13066081711105335,0.234,0.399,0.615,0.256,0.631,0.777,0
184,341926,62914560,4096,sequential,1000,0.537,0.5485,0.15562547120342252,0.254,0.417,0.685,0.275,0.71,0.943,0
192,327680,62914560,4096,sequential,1000,0.146943,0.1515,0.04064253395848451,0.092,0.103,0.188,0.095,0.19904999999999998,0.37,1
200,314572,62914560,4096,sequential,1000,0.600925,0.608,0.17698264387004514,0.296,0.45,0.778,0.33,0.807,1.061,0
208,302473,62914560,4096,sequential,1000,0.547321,0.544,0.16739753251733697,0.278,0.399,0.7132499999999999,0.295,0.744,1.062,0
216,291271,62914560,4096,sequential,1000,0.52148,0.529,0.16493370403506594,0.261,0.35875,0.683,0.30295,0.72505,1.294,1
224,280868,62914560,4096,sequential,1000,0.500055,0.4765,0.15895331431313767,0.213,0.349,0.66,0.29895,0.736,0.822,0
232,271183,62914560,4096,sequential,1000,0.357004,0.333,0.08111327479116687,0.245,0.291,0.4,0.27495,0.5280999999999999,0.746,20
240,262144,62914560,4096,sequential,1000,0.333468,0.3175,0.06155202374924506,0.269,0.283,0.366,0.273,0.45804999999999996,0.778,19
248,253687,62914560,4096,sequential,1000,0.542298,0.5455000000000001,0.14329844954374643,0.319,0.40375000000000005,0.674,0.339,0.748,1.055,0
