target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,16777216,4096,2048,sequential,target,200,79.325,79.0,5.6443483540359685,62.0,78.0,81.0,64.95,85.0,109.0,22
32768,16777216,4096,2048,sequential,control,200,60.125,60.0,3.11091044858181,43.0,59.0,62.0,55.95,65.0,67.0,9
