benchmark,run_tag,samples_achieved,duration_time_ns,ns_per_access_perf,bench_avg_ticks_per_access_median,cache_references,cache_misses,cache_miss_rate,l1_dcache_loads,l1_dcache_load_misses,l1_miss_rate,l1_dcache_stores,llc_loads,llc_load_misses,llc_miss_rate,dtlb_load_misses,notes
L1_resident,base,1000000,16828157.0,16.828157,6.264,71440.0,14503.0,0.20300951847704368,7616130.0,36294.0,0.004765412355093729,,,,,682.0,LLC-loads/misses <not counted> (real PMU limitation -- see script docstring); L1-dcache-stores/dTLB-load-misses <not counted>
L1_resident,rep1,1000000,5330111.0,5.330111,6.24,70889.0,13687.0,0.19307649988009423,7616875.0,32268.0,0.004236383031098712,,,,,691.0,LLC-loads/misses <not counted> (real PMU limitation -- see script docstring); L1-dcache-stores/dTLB-load-misses <not counted>
L1_resident,rep2,1000000,5010837.0,5.010837,6.264,68394.0,13316.0,0.19469544112056614,7615484.0,33883.0,0.004449224763652579,,,,,698.0,LLC-loads/misses <not counted> (real PMU limitation -- see script docstring); L1-dcache-stores/dTLB-load-misses <not counted>
L1_resident,median,,5330111.0,5.330111,6.264,70889.0,13687.0,0.19469544112056614,7616130.0,33883.0,0.004449224763652579,,,,,691.0,
