target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,67108864,4096,2048,sequential,target,200,133.27,68.0,102.67696869063425,66.0,66.0,252.0,66.0,304.19999999999993,738.0,1
32768,67108864,4096,2048,sequential,control,200,101.71,60.0,128.8154610870736,56.0,60.0,62.0,58.0,262.19999999999993,1264.0,43
