target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,2013265920,4096,2048,sequential,target,200,354.05,277.0,130.65423893143983,214.0,270.0,444.5,254.0,620.0999999999999,950.0,3
2097152,2013265920,4096,2048,sequential,control,200,195.24,154.0,90.44336577140582,146.0,152.0,160.0,148.0,334.09999999999997,706.0,42
