size_bytes,num_nodes,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
11584,1448,1000,10.210676,10.116,1.5615736701646041,10.084,10.104,10.124,10.092,10.136,56.572,25
12632,1579,1000,41.19708,10.112,981.3726073186824,10.08,10.104,10.12,10.096,10.132,31043.876,9
13776,1722,1000,10.145636,10.116,0.44578473676824737,10.08,10.108,10.128,10.096,10.144,19.652,12
15024,1878,1000,10.142631999999999,10.116,0.43914549906078443,10.08,10.108,10.124,10.096,10.14,19.556,21
16384,2048,1000,10.155912,10.112,0.6017151796435033,10.08,10.104,10.12,10.096,10.132,23.6,17
17864,2233,1000,10.151832,10.116,0.496375656704243,10.08,10.108,10.128,10.092,10.14,19.176,17
19480,2435,1000,41.617888,10.164,988.6259204167587,10.112,10.144,10.188,10.128,10.3372,31273.388,55
21240,2655,1000,10.140864,10.112,0.47211364818314755,10.072,10.096,10.124,10.084,10.144,19.516,13
23168,2896,1000,10.191764,10.164,0.4946940979580761,10.076,10.144,10.184,10.104,10.208,18.844,14
25264,3158,1000,10.174876,10.14,0.5352200866607728,10.092,10.12,10.156,10.104,10.184,20.368,10
27552,3444,1000,10.251968,10.22,0.5050436456981318,10.124,10.192,10.24,10.16,10.28,21.024,13
30048,3756,1000,41.927472,10.292,995.735996914528,10.152,10.26,10.324,10.2238,10.38,31498.348,38
32768,4096,1000,10.455568,10.32,1.092233625039839,10.196,10.284,10.356,10.248,10.424,35.688,40
35728,4466,1000,43.443944,10.884,1028.1885989674247,10.752,10.852,10.92,10.804,10.984,32525.104,20
38968,4871,1000,11.61112,11.5,0.9910600797538369,11.256,11.443000000000001,11.56,11.3598,11.644,27.884,27
42488,5311,1000,12.205972,12.14,0.8027486110536401,11.876,12.068,12.196,11.96,12.28,26.636,23
46336,5792,1000,12.601612,12.564,0.6190701360018017,12.288,12.5,12.612,12.38,12.68,23.592,20
50528,6316,1000,45.589172,13.024,1028.3627994920575,12.848,12.96,13.088,12.892,13.2082,32532.752,9
55104,6888,1000,13.422924,13.356,0.5114186301253008,13.084,13.288,13.448,13.164,13.7682,22.008,94
60096,7512,1000,45.812772,13.796,1010.0424797718221,13.492,13.708,13.892,13.616,14.020199999999999,31954.204,11
65536,8192,1000,14.241064,14.056,1.2282929371462832,13.82,13.988,14.14,13.908,14.2204,39.136,45
71464,8933,1000,62.01614,14.308,1503.35928669098,13.996,14.24,14.44,14.1118,14.524,47554.856,34
77936,9742,1000,14.822712,14.648,1.198930696859444,14.404,14.564,14.728,14.468,15.184399999999998,33.54,57
84984,10623,1000,29.565584,14.782,464.2271440743145,14.568,14.728,14.852,14.66,15.0002,14694.992,42
92680,11585,1000,15.069408,14.992,0.9405937604291016,14.792,14.94,15.04,14.856,15.1,35.564,21
101064,12633,1000,15.642296,15.24,1.9378590191141258,15.008,15.176,15.308,15.096,17.786599999999996,40.016,72
110216,13777,1000,45.684168,15.416,945.7755053056385,15.22,15.368,15.464,15.284,15.656,29923.756,69
120192,15024,1000,15.621616,15.544,0.8476073163362304,15.28,15.452,15.64,15.347800000000001,15.736,30.48,18
131072,16384,1000,48.49466,15.664,1028.7965096713365,15.348,15.608,15.72,15.48,16.0056,32549.312,87
142928,17866,1000,47.246392,16.884,953.196484746138,16.284,16.74,17.036,16.5478,17.3724,30159.768,43
155872,19484,1000,17.741044,16.808,4.2417806012018975,16.288,16.684,16.961,16.5158,23.881599999999995,83.676,86
169976,21247,1000,17.846704,17.684,1.3730876075334604,16.912,17.475,17.893,17.228,18.244,38.76,30
185360,23170,1000,49.665676,19.048,960.8036648063288,18.216,18.832,19.293,18.54,19.844,30402.52,43
202136,25267,1000,52.364872,19.584,1028.4497982160308,18.416,19.307,19.833,18.919600000000003,20.592999999999996,32542.232,50
220432,27554,1000,50.400908,18.888,967.7573298012925,18.044,18.674999999999997,19.152,18.419800000000002,24.84739999999997,30622.708,105
240384,30048,1000,53.208504,20.3,1029.0423896862856,19.368,20.063,20.596,19.704,22.4302,32561.788,72
262144,32768,1000,21.17456,20.9,1.4720470267110521,19.748,20.632,21.197000000000003,20.2678,22.872,39.772,84
285864,35733,1000,56.753004,23.336,1028.5621582764156,21.836,22.988,23.765,22.564,29.855399999999996,32549.984,111
311744,38968,1000,55.174859999999995,26.152,903.3548309647897,24.696,25.76,26.549999999999997,25.3518,29.170999999999996,28593.1,96
339952,42494,1000,60.115208,27.338,1028.446794863753,25.988,26.942999999999998,27.8,26.451600000000003,28.9624,32549.9,48
370728,46341,1000,63.052084,31.098,989.6394585644233,29.844,30.735,31.521,30.288,34.876599999999996,31326.736,82
404280,50535,1000,63.952832,32.064,996.5720866180259,30.58,31.634999999999998,32.584,31.0518,34.49839999999999,31546.748,58
440872,55109,1000,68.281272,35.596,1028.7543466327975,33.832,35.159,36.0,34.5078,36.7966,32567.788,41
480768,60096,1000,69.054492,36.174,1028.3269667605089,34.696,35.756,36.676,35.2796,38.33839999999999,32555.032,53
524288,65536,1000,99.0933,38.048,1353.9696463594644,36.096,37.699,38.485,37.083800000000004,44.6416,32553.792,102
571736,71467,1000,100.228772,39.728,1897.904142162026,38.24,39.336,40.177,38.891400000000004,43.093199999999996,60057.156,73
623480,77935,1000,73.203836,41.122,1002.2770896553772,39.824,40.736,41.584,40.2438,42.361,31735.956,35
679912,84989,1000,75.599368,42.518,1028.357797157709,41.148,42.099000000000004,42.976,41.484,45.587999999999994,32562.288,69
741448,92681,1000,136.665332,43.762,2157.649490766182,42.14,43.364,44.172,42.8638,45.862399999999994,60061.008,62
808560,101070,1000,77.53028,44.818,1028.4430027127369,42.776,44.471000000000004,45.172,43.9396,45.8722,32567.2,41
881744,110218,1000,78.5767,45.88,1028.4653939095292,44.24,45.5,46.265,44.924,46.9402,32568.956,33
