target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,1073741824,4096,2048,sequential,target,200,96.09,68.0,85.02894511598794,58.0,66.0,74.0,66.0,280.19999999999993,738.0,29
32768,1073741824,4096,2048,sequential,control,200,215.6,250.0,199.09564379183294,58.0,60.0,266.0,58.0,402.8999999999997,1282.0,7
