target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,67108864,4096,2048,random,target,200,165.93,216.0,61.326173841109224,92.0,96.0,218.5,92.0,228.0,240.0,0
32768,67108864,4096,2048,random,control,200,47.15,48.0,1.0692128321349357,46.0,46.0,48.0,46.0,48.0,50.0,0
