target_bytes,evict_bytes,evict_stride_bytes,evict_offset_bytes,pattern,channel,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,805306368,4096,2048,random,target,200,186.16,179.5,37.92222137971165,155.0,175.0,183.0,171.0,199.44999999999985,483.0,13
32768,805306368,4096,2048,random,control,200,112.225,110.0,15.374859561396434,103.0,107.0,114.25,105.0,121.09999999999997,314.0,6
