level,run_tag,samples_achieved,duration_time_ns,ns_per_access_perf,bench_avg_ticks_per_access_median,cache_references,cache_misses,cache_miss_rate,l1_dcache_loads,l1_dcache_load_misses,l1_miss_rate,llc_loads,llc_load_misses,llc_miss_rate,cycles,instructions,cycles_per_access,ipc,notes
LLC,base,1000000,193088231.0,193.088231,133.14,20348260.0,8135761.0,0.3998258819181591,88848034.0,7803414.0,0.08782877514205885,5154418.0,1762442.0,0.3419284194646224,926135843.0,190540722.0,926.135843,0.20573733695781388,
LLC,rep1,1000000,265361186.0,265.361186,117.868,20308719.0,12490041.0,0.6150088048389463,88846960.0,7808179.0,0.08788346838203581,5143288.0,1570285.0,0.30530761645079957,736892018.0,190256906.0,736.892018,0.25818831165572487,
LLC,rep2,1000000,316281782.0,316.281782,128.416,20572020.0,13119410.0,0.6377307624628015,88880243.0,7812809.0,0.08790265121124838,5143024.0,1665629.0,0.3238617980394414,732100403.0,190266097.0,732.100403,0.25989071474394476,
LLC,median,,265361186.0,265.361186,128.416,20348260.0,12490041.0,0.6150088048389463,88848034.0,7808179.0,0.08788346838203581,5143288.0,1665629.0,0.3238617980394414,736892018.0,190266097.0,736.892018,0.25818831165572487,
