level,run_tag,samples_achieved,duration_time_ns,ns_per_access_perf,bench_avg_ticks_per_access_median,cache_references,cache_misses,cache_miss_rate,l1_dcache_loads,l1_dcache_load_misses,l1_miss_rate,llc_loads,llc_load_misses,llc_miss_rate,cycles,instructions,cycles_per_access,ipc,notes
L2,base,1000000,18491198.0,18.491198,19.312,143218.0,195.0,0.0013615606976776662,8358675.0,1052586.0,0.12592737485307182,108646.0,94.0,0.0008651952211770336,27794643.0,16084804.0,27.794643,0.5787015864891663,
L2,rep1,1000000,17782637.0,17.782637,25.05,147407.0,74.0,0.000502011437720054,8356480.0,1050509.0,0.12571190261928467,110257.0,88.0,0.0007981352657881133,28222591.0,16080259.0,28.222591,0.5697655116073503,
L2,rep2,1000000,16667058.0,16.667058,25.375,184684.0,179.0,0.0009692231054124884,8357614.0,1053338.0,0.12603333918029716,141557.0,80.0,0.0005651433698086283,28218338.0,16082997.0,28.218338,0.5699484143963405,
L2,median,,17782637.0,17.782637,25.05,147407.0,179.0,0.0009692231054124884,8357614.0,1052586.0,0.12592737485307182,110257.0,88.0,0.0007981352657881133,28218338.0,16082997.0,28.218338,0.5699484143963405,
